abseil 20260107.1
ampl-asl 1.0.1
aom 3.14.1
apache-arrow 25.0.0_2 25.0.0_3
apache-serf 1.3.10
apr 1.7.6
apr-util 1.6.3_1
aribb24 1.0.4
asio 1.36.0
assimp 6.0.5
assimp@5 5.4.3
autoconf 2.73
automake 1.18.1_1
aws-c-auth 0.10.4
aws-c-cal 0.9.15 0.9.14
aws-c-common 0.14.3 0.14.4
aws-c-compression 0.3.2
aws-c-event-stream 0.7.1
aws-c-http 0.11.0
aws-c-io 0.27.5 0.27.4
aws-c-mqtt 0.16.0
aws-c-s3 0.13.3 0.13.1
aws-c-sdkutils 0.2.7 0.2.8
aws-checksums 0.2.10
aws-crt-cpp 0.43.1 0.42.3
aws-sdk-cpp 1.11.855 1.11.840
bison 3.8.2
boost 1.90.0_1
boost-python3 1.90.0
boost@1.85 1.85.0_3
brotli 1.2.0
bullet 3.25
c-ares 1.34.8
c-blosc 1.21.6
ca-certificates 2026-07-16
cairo 1.18.4
ceres-solver 2.2.0_6
certifi 2025.11.12
cfitsio 4.6.4
cgal 6.2
cgns 4.5.2
cjson 1.7.19
clang-format 21.1.7
cli11 2.6.2
cmake 4.3.2
coal 3.0.4
conan 2.24.0
console_bridge 1.0.2
coreutils 9.9
cppcheck 2.18.0
cppzmq 4.11.0
cunit 2.1-3
dartsim 6.19.4
dav1d 1.5.4
dbus 1.16.2_1
double-conversion 3.4.0
doxygen 1.17.0
eigen 5.0.1
eigen@3 3.4.1
eigenpy 3.13.0
epsilon 0.9.2
expat 2.7.3
fcl 0.7.0_2
ffmpeg 8.1.2_1
flac 1.5.0
flann 1.9.2_4
flatbuffers 25.9.23
fmt 12.2.0
fontconfig 2.18.2
freeglut 3.8.0
freeimage 3.18.0
freetype 2.14.3
freexl 2.0.0
frei0r 2.5.1
fribidi 1.0.16
g2o 20241228_1
gcc 16.1.0
gd 2.3.3_6
gdal 3.13.1_4 3.13.2
gdbm 1.26
gdk-pixbuf 2.44.5
geographiclib 2.7
geos 3.14.1
gettext 1.0
gflags 2.3.1
gh 2.83.2
giflib 6.1.3
git 2.54.0
git-lfs 3.7.1
glew 2.3.1
glfw 3.4
glib 2.88.2
glm 1.0.2
glog 0.7.1
gmp 6.3.0
gnupg 2.5.21
gnutls 3.8.13_2
google-benchmark 1.9.5
googletest 1.17.0
gpgme 2.1.2
gpgmepp 2.1.0
gpsd 3.27.5
graphicsmagick 1.3.48
graphite2 1.3.15
graphviz 14.1.2
grpc 1.83.0
gts 0.7.6_3
gumbo-parser 0.13.2
harfbuzz 14.2.1
hdf5 2.1.1
highway 1.4.0
hunspell 1.7.2
hwloc 2.14.0
icu4c@77 77.1
icu4c@78 78.3
imath 3.2.2
ipopt 3.14.19
irrlicht 1.8.5_1
isl 0.28
jasper 4.2.9
jemalloc 5.3.0
jpeg-turbo 3.2.0
jpeg-xl 0.12.0
jq 1.8.0
json-c 0.19
jsoncpp 1.9.8
jthread 1.3.3
krb5 1.22.2
lame 4.0
lapack 3.12.1
ldns 1.8.4
leptonica 1.87.0
libaec 1.1.7
libarchive 3.8.8 3.8.9
libass 0.17.4
libassuan 3.0.2
libavif 1.3.0
libb2 0.98.1
libbluray 1.4.0_1
libcbor 0.12.0
libccd 2.1_1
libclc 22.1.8
libdatrie 0.2.14
libde265 1.1.1
libdeflate 1.25
libevent 2.1.12_1
libfido2 1.16.0
libgcrypt 1.12.2
libgeotiff 1.7.4
libgpg-error 1.61
libharu 2.4.6
libheif 1.23.1
libidn2 2.3.8
libkml 1.3.0_1
libksba 1.8.0
liblerc 4.2.0
liblinear 2.50
libmicrohttpd 1.0.2
libmng 2.0.3_1
libmpc 1.4.1
libnghttp2 1.69.0
libogg 1.3.6
libomp 22.1.8
libpcap 1.10.6
libpng 1.6.58
libpq 18.4
librist 0.2.11_1
librsvg 2.61.3_1
librttopo 1.1.0
libsamplerate 0.2.2
libsndfile 1.2.2_1
libsodium 1.0.22
libsoxr 0.1.3
libspatialite 5.1.0_4
libspnav 1.2
libssh 0.11.3
libssh2 1.11.1_1
libtasn1 4.21.0
libthai 0.1.30
libtiff 4.7.2
libtins 4.5
libtool 2.6.2
libudfread 1.2.0
libunibreak 6.1
libunistring 1.4.2
libusb 1.0.30
libuv 1.51.0
libvidstab 1.1.1
libvmaf 3.2.0
libvorbis 1.3.7
libvpx 1.16.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxfixes 6.0.2
libxi 1.8.3
libxml2 2.15.3
libxrandr 1.5.5
libxrender 0.9.12
libxxf86vm 1.1.7
libyaml 0.2.5
libzip 1.11.4_1
libzzip 0.13.80
litehtml 0.9
little-cms2 2.19
llvm 22.1.8
llvm@14 14.0.6
lua 5.5.0
lua@5.4 5.4.8
lz4 1.10.0
lzo 2.10
m4 1.4.21
